Date,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves
14/08/21,0,0,3,3,0,3,0,3,0,3,3,0,3,0,0,0,3,3,3,0
21/08/21,0,3,4,6,0,6,1,4,1,3,6,3,4,0,0,1,6,3,6,0
28/08/21,0,4,5,6,1,7,2,7,2,6,7,6,7,1,0,2,9,3,7,0
11/09/21,3,4,5,9,1,10,5,10,2,6,10,9,10,1,0,3,9,3,8,3
18/09/21,6,7,8,12,1,13,5,10,3,6,13,10,13,2,0,4,9,6,8,3
25/09/21,9,10,9,13,2,13,6,13,3,7,14,13,13,3,0,4,9,7,11,6
02/10/21,10,10,12,14,3,16,7,14,6,8,15,14,14,3,1,4,12,7,11,9
16/10/21,11,10,12,15,3,19,8,14,6,11,18,17,14,3,2,7,15,7,14,12
23/10/21,14,10,12,15,4,22,9,14,7,14,21,20,14,4,2,8,15,10,17,13
30/10/21,17,10,12,16,7,25,12,14,10,14,22,20,17,4,2,11,15,10,20,16
06/11/21,20,10,12,17,8,26,15,15,11,15,22,23,17,5,5,14,16,10,23,16
20/11/21,20,13,13,17,9,29,16,15,11,15,25,26,17,6,8,14,19,13,23,19
27/11/21,23,16,16,18,12,30,16,15,12,18,28,29,18,6,9,14,19,13,23,20
01/12/21,23,16,16,19,13,33,16,15,15,19,31,32,21,7,10,15,22,13,24,21
04/12/21,23,19,17,20,13,33,16,18,16,19,34,35,24,10,10,16,25,13,27,21
11/12/21,26,19,20,20,14,36,19,18,16,22,37,38,27,10,10,16,28,13,28,21
15/12/21,29,22,20,20,15,37,20,19,16,22,40,41,30,10,10,17,31,14,28,24
19/12/21,32,22,20,20,18,38,23,20,16,23,41,44,33,10,10,20,32,14,31,25
26/12/21,35,25,20,23,18,41,23,20,16,23,44,47,34,11,10,23,35,14,31,28
29/12/21,38,25,20,24,18,42,26,23,16,26,44,50,37,11,10,24,36,14,34,28
02/01/22,38,26,23,27,18,43,26,23,19,29,45,53,37,14,10,24,39,14,37,31
15/01/22,38,29,23,28,19,43,27,23,22,32,48,56,38,15,13,24,42,15,37,34
22/01/22,39,30,23,29,20,46,27,23,22,33,51,57,41,18,16,25,42,15,37,37
09/02/22,42,30,23,30,20,47,28,23,23,33,54,60,42,21,17,28,42,15,40,37
12/02/22,45,30,24,33,23,47,29,26,23,34,57,63,43,24,17,29,42,15,41,40
19/02/22,48,33,24,33,24,50,29,26,23,34,60,63,46,25,17,32,45,18,42,43
26/02/22,48,36,24,33,24,53,30,26,23,37,63,66,47,28,17,35,48,19,45,43
05/03/22,51,36,27,33,24,56,33,26,23,37,66,69,47,31,17,35,51,19,45,43
13/03/22,54,36,30,33,27,59,34,26,26,40,69,70,50,31,17,35,51,22,48,46
20/03/22,57,36,30,33,27,59,34,27,29,41,72,73,50,34,17,35,54,23,48,46
02/04/22,57,36,33,34,27,62,37,27,30,44,75,76,51,34,18,36,57,23,51,49
09/04/22,57,36,36,37,28,65,37,30,33,44,76,77,51,37,21,36,60,23,51,49
16/04/22,57,37,39,40,31,68,38,30,33,45,79,80,54,40,21,39,60,23,52,49
24/04/22,60,40,40,41,34,69,41,33,34,45,82,83,54,43,21,40,61,23,52,49
30/04/22,63,43,40,44,34,69,44,36,34,45,85,86,55,43,21,40,64,23,52,49
07/05/22,66,44,43,47,34,70,45,36,34,48,86,89,58,43,21,40,65,23,55,50
15/05/22,66,45,46,48,35,71,45,39,35,49,89,90,58,46,22,40,68,23,56,51
22/05/22,69,45,46,51,35,74,48,39,38,52,92,93,58,49,22,40,71,23,56,51
